canonical_name,stadium,latitude,longitude
Arsenal,Emirates Stadium,51.5549,-0.1084
Aston Villa,Villa Park,52.5092,-1.8848
AFC Bournemouth,Vitality Stadium,50.7352,-1.8384
Brentford,Gtech Community Stadium,51.4907,-0.2887
Brighton & Hove Albion,American Express Stadium,50.8616,-0.0834
Burnley,Turf Moor,53.7890,-2.2303
Cardiff City,Cardiff City Stadium,51.4728,-3.2031
Chelsea,Stamford Bridge,51.4817,-0.1910
Coventry City,Coventry Building Society Arena,52.4481,-1.4951
Crystal Palace,Selhurst Park,51.3983,-0.0855
Everton,Hill Dickinson Stadium,53.3906,-3.0023
Fulham,Craven Cottage,51.4749,-0.2217
Huddersfield Town,John Smith's Stadium,53.6543,-1.7683
Hull City,MKM Stadium,53.7460,-0.3676
Ipswich Town,Portman Road,52.0550,1.1450
Leeds United,Elland Road,53.7778,-1.5721
Leicester City,King Power Stadium,52.6204,-1.1422
Liverpool,Anfield,53.4308,-2.9608
Luton Town,Kenilworth Road,51.8842,-0.4317
Manchester City,Etihad Stadium,53.4831,-2.2004
Manchester United,Old Trafford,53.4631,-2.2913
Middlesbrough,Riverside Stadium,54.5780,-1.2169
Newcastle United,St James' Park,54.9756,-1.6217
Norwich City,Carrow Road,52.6222,1.3092
Nottingham Forest,The City Ground,52.9400,-1.1329
Queens Park Rangers,Loftus Road,51.5093,-0.2321
Sheffield United,Bramall Lane,53.3703,-1.4709
Southampton,St Mary's Stadium,50.9058,-1.3910
Stoke City,bet365 Stadium,52.9884,-2.1756
Sunderland,Stadium of Light,54.9145,-1.3882
Swansea City,Swansea.com Stadium,51.6428,-3.9351
Tottenham Hotspur,Tottenham Hotspur Stadium,51.6043,-0.0665
Watford,Vicarage Road,51.6499,-0.4015
West Bromwich Albion,The Hawthorns,52.5090,-1.9639
West Ham United,London Stadium,51.5387,-0.0166
Wolverhampton Wanderers,Molineux Stadium,52.5901,-2.1303
