canonical_name,fbref_name,understat_name,footballdata_name,clubelo_name,fpl_name
Arsenal,Arsenal,Arsenal,Arsenal,Arsenal,Arsenal
Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa,Aston Villa
AFC Bournemouth,Bournemouth,Bournemouth,Bournemouth,Bournemouth,Bournemouth
Brentford,Brentford,Brentford,Brentford,Brentford,Brentford
Brighton & Hove Albion,Brighton,Brighton,Brighton,Brighton,Brighton
Burnley,Burnley,Burnley,Burnley,Burnley,Burnley
Cardiff City,Cardiff City,Cardiff,Cardiff,Cardiff,Cardiff
Chelsea,Chelsea,Chelsea,Chelsea,Chelsea,Chelsea
Coventry City,Coventry City,Coventry,Coventry,Coventry,Coventry City
Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
Everton,Everton,Everton,Everton,Everton,Everton
Fulham,Fulham,Fulham,Fulham,Fulham,Fulham
Huddersfield Town,Huddersfield,Huddersfield,Huddersfield,Huddersfield,Huddersfield
Hull City,Hull City,Hull,Hull,Hull,Hull City
Ipswich Town,Ipswich Town,Ipswich,Ipswich,Ipswich,Ipswich Town
Leeds United,Leeds United,Leeds,Leeds,Leeds,Leeds
Leicester City,Leicester City,Leicester,Leicester,Leicester,Leicester
Liverpool,Liverpool,Liverpool,Liverpool,Liverpool,Liverpool
Luton Town,Luton Town,Luton,Luton,Luton,Luton
Manchester City,Manchester City,Manchester City,Man City,Man City,Man City
Manchester United,Manchester Utd,Manchester United,Man United,Man United,Man Utd
Middlesbrough,Middlesbrough,Middlesbrough,Middlesbrough,Middlesbrough,Middlesbrough
Newcastle United,Newcastle Utd,Newcastle United,Newcastle,Newcastle,Newcastle
Norwich City,Norwich City,Norwich,Norwich,Norwich,Norwich
Nottingham Forest,Nott'ham Forest,Nottingham Forest,Nott'm Forest,Forest,Nott'm Forest
Queens Park Rangers,QPR,Queens Park Rangers,QPR,QPR,QPR
Sheffield United,Sheffield Utd,Sheffield United,Sheffield United,Sheffield United,Sheffield Utd
Southampton,Southampton,Southampton,Southampton,Southampton,Southampton
Stoke City,Stoke City,Stoke,Stoke,Stoke,Stoke
Sunderland,Sunderland,Sunderland,Sunderland,Sunderland,Sunderland
Swansea City,Swansea City,Swansea,Swansea,Swansea,Swansea
Tottenham Hotspur,Tottenham,Tottenham,Tottenham,Tottenham,Spurs
Watford,Watford,Watford,Watford,Watford,Watford
West Bromwich Albion,West Brom,West Bromwich Albion,West Brom,West Brom,West Brom
West Ham United,West Ham,West Ham,West Ham,West Ham,West Ham
Wolverhampton Wanderers,Wolves,Wolverhampton Wanderers,Wolves,Wolves,Wolves
